hardware_profile,model,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,macro_roc_auc_ovr,macro_pr_auc_ovr
longer_fiber_link,Transparent_Threshold_Baseline,1246000,0.4164879614767255,0.42373593587283664,0.47294823741386555,0.42373593587283664,0.3535242644949851,0.3511554805707978,0.2631631111775517,,
longer_fiber_link,Logistic_Regression,1246000,0.4911781701444623,0.4977690813626322,0.5693354296230009,0.4977690813626322,0.4360371166771179,0.4337638741524374,0.3553648206524244,,
longer_fiber_link,Random_Forest,1246000,0.4768699839486356,0.48467342683628134,0.5723825532164459,0.48467342683628134,0.4291322763363835,0.4263087258313303,0.3377437919156793,,
longer_fiber_link,XGBoost,1246000,0.4771645264847512,0.4849142025403765,0.5716329727913666,0.4849142025403765,0.4301955192514874,0.4274584474044996,0.33822127218852716,,
low_efficiency_detector,Transparent_Threshold_Baseline,1504000,0.5190691489361702,0.5145174099142278,0.5552811784271959,0.5145174099142278,0.4753572814039475,0.4783903851971421,0.3744731848588777,,
low_efficiency_detector,Logistic_Regression,1504000,0.5660917553191489,0.561236867531661,0.5943860772310615,0.561236867531661,0.5266900379044406,0.5297134197423843,0.4357862565814573,,
low_efficiency_detector,Random_Forest,1504000,0.5645033244680852,0.5594595213215793,0.5983889154688863,0.5594595213215793,0.5318070766663576,0.5347287396760566,0.43359707155305394,,
low_efficiency_detector,XGBoost,1504000,0.5641914893617022,0.5592062965382754,0.5975125890283967,0.5592062965382754,0.5318413917405955,0.5347209054932478,0.4331069382925661,,
shifted_standard,Transparent_Threshold_Baseline,2250000,0.5993968888888889,0.6000369464453706,0.6264859580472398,0.6000369464453706,0.6010566363220918,0.6010671683140747,0.4747391930458431,,
shifted_standard,Logistic_Regression,2250000,0.648372,0.6489039238228931,0.6651324806655574,0.6489039238228931,0.6470642757990331,0.6472336927617954,0.5378337510886668,,
shifted_standard,Random_Forest,2250000,0.6505688888888889,0.6510152937014193,0.6671969075937587,0.6510152937014193,0.6518310549437019,0.6520251351416654,0.53934927932749,,
shifted_standard,XGBoost,2250000,0.6497546666666667,0.6501805670480888,0.6659544531788073,0.6501805670480888,0.6508842199111557,0.651079236703744,0.5381830632288683,,
