time_window,model,samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,macro_roc_auc_ovr,macro_pr_auc_ovr
frames_000_099,Transparent_Threshold_Baseline,1000000,0.530273,0.530273,0.5529324364378361,0.530273,0.5090075439668857,0.5090075439668857,0.38661957437991595,,
frames_000_099,Logistic_Regression,1000000,0.585014,0.585014,0.6050885638886568,0.585014,0.5653394326561263,0.5653394326561263,0.4587336730833313,,
frames_000_099,Random_Forest,1000000,0.582335,0.582335,0.6065753163596515,0.582335,0.5679667877518718,0.5679667877518717,0.4546900259520284,,
frames_000_099,XGBoost,1000000,0.581834,0.581834,0.6059040391099799,0.581834,0.5675068965998229,0.5675068965998229,0.4539755974894862,,
frames_100_199,Transparent_Threshold_Baseline,1000000,0.529274,0.529274,0.552509750991304,0.529274,0.5079406675284985,0.5079406675284985,0.3852928668338997,,
frames_100_199,Logistic_Regression,1000000,0.584169,0.5841689999999999,0.6041574782714065,0.5841689999999999,0.5640361502130575,0.5640361502130575,0.4576844086756767,,
frames_100_199,Random_Forest,1000000,0.580996,0.580996,0.6055581382408691,0.580996,0.5664102570658799,0.5664102570658799,0.4529628996372985,,
frames_100_199,XGBoost,1000000,0.580434,0.580434,0.6046800419935824,0.580434,0.5658319624256919,0.5658319624256919,0.45216019903577365,,
frames_200_299,Transparent_Threshold_Baseline,1000000,0.529889,0.529889,0.5528644505378149,0.529889,0.5087508744510063,0.5087508744510063,0.38604636503527273,,
frames_200_299,Logistic_Regression,1000000,0.583888,0.583888,0.6035116236424887,0.583888,0.5640993508937295,0.5640993508937295,0.45720875163144725,,
frames_200_299,Random_Forest,1000000,0.580591,0.580591,0.6045702426131476,0.580591,0.5661549523259465,0.5661549523259464,0.45232355925302703,,
frames_200_299,XGBoost,1000000,0.580291,0.580291,0.6039555294420803,0.580291,0.5659028493050678,0.565902849305068,0.4518552138140331,,
frames_300_399,Transparent_Threshold_Baseline,1000000,0.529927,0.529927,0.5530846034224709,0.529927,0.5083208636060664,0.5083208636060664,0.3862392842566674,,
frames_300_399,Logistic_Regression,1000000,0.584865,0.584865,0.6044877372271438,0.584865,0.5648656389900896,0.5648656389900896,0.4585596688541408,,
frames_300_399,Random_Forest,1000000,0.581638,0.581638,0.6056082913866063,0.581638,0.5669792031538254,0.5669792031538253,0.4537839793298047,,
frames_300_399,XGBoost,1000000,0.581363,0.5813630000000001,0.6050850434733706,0.5813630000000001,0.5667239281763176,0.5667239281763176,0.453371451825534,,
frames_400_499,Transparent_Threshold_Baseline,1000000,0.528904,0.5289039999999999,0.5512109424719516,0.5289039999999999,0.5074891925159419,0.5074891925159418,0.38474277158508663,,
frames_400_499,Logistic_Regression,1000000,0.584311,0.584311,0.6037924089804348,0.584311,0.5643511593401355,0.5643511593401355,0.45781479448937434,,
frames_400_499,Random_Forest,1000000,0.581413,0.581413,0.6053342582537959,0.581413,0.5668895776745172,0.5668895776745172,0.4534700418891177,,
frames_400_499,XGBoost,1000000,0.581117,0.581117,0.604805993051579,0.581117,0.5666174485199845,0.5666174485199846,0.45302205124281203,,
